notification_date,lga_name19,confirmed_cases_count
2020-03-27,The Hills Shire (A),1
2020-03-27,Upper Lachlan Shire (A),2
2020-03-27,Warrumbungle Shire (A),1
2020-03-27,Waverley (A),10
2020-03-27,Willoughby (C),3
2020-03-27,Wingecarribee (A),2
2020-03-27,Wollongong (C),5
2020-03-27,Woollahra (A),4
2020-03-28,Armidale Regional (A),1
2020-03-28,Ballina (A),1
2020-03-28,Bathurst Regional (A),1
2020-03-28,Bayside (A),3
2020-03-28,Bellingen (A),1
2020-03-28,Blacktown (C),4
2020-03-28,Blue Mountains (C),1
2020-03-28,Camden (A),1
2020-03-28,Campbelltown (C) (NSW),2
2020-03-28,Canada Bay (A),3
2020-03-28,Canterbury-Bankstown (A),5
2020-03-28,Central Coast (C) (NSW),6
2020-03-28,Cessnock (C),3
2020-03-28,Clarence Valley (A),1
2020-03-28,Coffs Harbour (C),1
2020-03-28,Cumberland (A),3
2020-03-28,Dungog (A),1
2020-03-28,Eurobodalla (A),2
2020-03-28,Fairfield (C),1
2020-03-28,Georges River (A),3
2020-03-28,Goulburn Mulwaree (A),1
2020-03-28,Hawkesbury (C),1
2020-03-28,Hay (A),1
2020-03-28,Hornsby (A),1
2020-03-28,Inner West (A),3
2020-03-28,Ku-ring-gai (A),3
2020-03-28,Lake Macquarie (C),3
2020-03-28,Lane Cove (A),1
2020-03-28,Maitland (C),1
2020-03-28,Mid-Coast (A),3
2020-03-28,Mid-Western Regional (A),2
2020-03-28,Murrumbidgee (A),1
2020-03-28,Newcastle (C),4
2020-03-28,North Sydney (A),1
2020-03-28,Northern Beaches (A),11
2020-03-28,Parramatta (C),1
2020-03-28,Penrith (C),5
2020-03-28,Port Macquarie-Hastings (A),5
2020-03-28,Port Stephens (A),4
2020-03-28,Queanbeyan-Palerang Regional (A),1
2020-03-28,Randwick (C),1
2020-03-28,Ryde (C),7
2020-03-28,Shellharbour (C),1
2020-03-28,Shoalhaven (C),2
2020-03-28,Singleton (A),1
2020-03-28,Sutherland Shire (A),11
2020-03-28,Sydney (C),3
2020-03-28,Tamworth Regional (A),1
2020-03-28,The Hills Shire (A),8
2020-03-28,Waverley (A),2
2020-03-28,Willoughby (C),1
2020-03-28,Wingecarribee (A),1
2020-03-28,Wollongong (C),3
2020-03-28,Woollahra (A),2
2020-03-29,Bathurst Regional (A),1
2020-03-29,Bayside (A),7
2020-03-29,Berrigan (A),1
2020-03-29,Blacktown (C),12
2020-03-29,Blue Mountains (C),1
2020-03-29,Burwood (A),1
2020-03-29,Byron (A),2
2020-03-29,Campbelltown (C) (NSW),3
2020-03-29,Canada Bay (A),3
2020-03-29,Canterbury-Bankstown (A),4
2020-03-29,Central Coast (C) (NSW),7
2020-03-29,Cessnock (C),2
2020-03-29,Cumberland (A),4
2020-03-29,Georges River (A),5
2020-03-29,Greater Hume Shire (A),1
2020-03-29,Hawkesbury (C),1
2020-03-29,Inner West (A),3
2020-03-29,Lake Macquarie (C),3
2020-03-29,Lane Cove (A),2
